1d100	盗贼独特能力
1	炼金复制术【卷轴使用】 Alchemical Duplication [Scroll Use]
2	伏击设计 [潜行匿踪] Ambush Design [Hide In Shadows]
3	解毒剂与抗毒血清 [寻找/解除陷阱] Antidotes & Antivenoms [Find/Remove Traps]
4	使用催眠药物[扒窃] Application of Soporifics [Pick Pockets]
5	纵火 [听声辨位] Arson [Hear Noise]
6	基础伪装 [扒窃] Basic Disguises [Pick Pockets]
7	乞讨与流浪汉象形文字 [无声移动] Begging & Hobo Hieroglyphs [Move Silently]
8	敲诈勒索 [扒窃] Blackmail/Extortion [Pick Pockets]
9	呼吸控制 [无声移动] Breath Control [Move Silently]
10	贿赂 [发现/解除陷阱] Bribery [Find/Remove Traps]
11	入室盗窃 [开锁] Burglary [Open Locks]
12	伏击 [隐匿于阴影] Bushwhacking [Hide In Shadows]
13	伪装与隐蔽 [潜藏于阴影] Camouflage & Concealment [Hide In Shadows]
14	在技巧游戏中作弊【扒窃】 Cheat At Game of Skill [Pick Pockets]
15	代码与密码破解 [阅读语言] Code & Cipher Breaking [Read Languages]
16	密码与暗号开发 [无声移动] Code & Cipher Development [Move Silently]
17	削币与货币贬值 [扒窃] Coin Shaving & Currency Debasement [Pick Pockets]
18	自信与欺诈艺术 [扒窃] Confidence & Swindling Arts [Pick Pockets]
19	扭曲与脱臼术 [开锁] Contortions & Dislocation [Open Locks]
20	擅长以谎言掩饰 [扒窃] Convincingly Lie [Pick Pockets]
21	伪造品检测 [聆听噪音] Counterfeit Detection [Hear Noise]
22	人群融入 [无声移动] Crowd Blending [Move Silently]
23	解读地图 [开锁] Decipher Maps [Open Locks]
24	诊断中毒 [潜行于阴影] Diagnose Poisoning [Hide In Shadows]
25	骰子操控 [扒窃] Dice Manipulation [Pick Pockets]
26	长跑 [无声移动] Distance Running [Move Silently]
27	潜水闪避【潜藏于阴影】 Diving Dodge [Hide In Shadows]
28	药物耐受性 [解读语言] Drug Tolerance [Read Languages]
29	评估贵重物品/鉴定 [寻找/解除陷阱] Evaluate Valuables/Appraisal [Find/Remove Traps]
30	爆炸物 [寻找/解除陷阱] Explosives [Find/Remove Traps]
31	远距离观察 [聆听动静] Eye for Distance [Hear Noise]
32	擅长察觉坡度 [聆听噪音] Eye for Slopes [Hear Noise]
33	对盗窃活动有敏锐洞察力 [聆听噪音] Eye for Thievish Activity [Hear Noise]
34	慧眼识书 [聆听噪音] Eye for Volumes [Hear Noise]
35	眼观重量 [聆听噪音] Eye for Weights [Hear Noise]
36	虚假踪迹 [阴影中隐匿] False Trails [Hide In Shadows]
37	扒窃与商店行窃 [扒手技巧] Filching & Shoplifting [Pick Pockets]
38	伪造/文件篡改 [阅读语言] Forgery/Document Alteration [Read Languages]
39	精通定时引信[开锁] Fuse Timings [Open Locks]
40	赌博 [扒窃] Gambling [Pick Pockets]
41	抓钩 [攀爬垂直表面] Grappling Hooks [Climb Sheer Surfaces]
42	骗术游戏 [扒窃] Grifting Games [Pick Pockets]
43	讨价还价与议价 [开锁] Haggling & Chaffering [Open Locks]
44	在身上隐藏物品/藏匿 [扒窃] Hide Item on Person/Holdout [Pick Pockets]
45	催眠术 [扒窃] Hypnosis [Pick Pockets]
46	冒充 [无声移动] Impersonation [Move Silently]
47	堵塞门户 [开锁] Jam Portals [Open Locks]
48	杂耍 [攀爬垂直表面] Juggling [Climb Sheer Surfaces]
49	法律漏洞 [开锁] Legal Loopholes [Open Locks]
50	谎言感知 [隐匿于阴影] Lie Perception [Hide In Shadows]
51	牲畜偷窃 [扒窃] Livestock Rustling [Pick Pockets]
52	寻找销赃者与黑市 [攀爬垂直表面] Locate Fences & Black Markets [Climb Sheer Surfaces]
53	定位最珍贵的宝藏/劫掠 [聆听噪音] Locate Most Valuable Treasures/Looting [Hear Noise]
54	用脚操控小物件 [开锁] Manipulate Small Objects with Feet [Open Locks]
55	机械陷阱重置 [发现/移除陷阱] Mechanical Trap Resetting [Find/Remove Traps]
56	记忆地图 [无声移动] Memorize Maps [Move Silently]
57	转移注意力 [无声移动] Misdirect Attention [Move Silently]
58	暴民煽动 [潜行于阴影] Mob Agitation [Hide In Shadows]
59	行动模仿 [无声移动] Movement Mimicry [Move Silently]
60	外围警报装置【发现/移除陷阱】 Perimeter Alarms [Find/Remove Traps]
61	从背包/马鞍袋中偷窃 [扒窃] Pilfer from Backpacks/Saddlebags [Pick Pockets]
62	毒药免疫 [潜行于阴影] Poison Immunity [Hide In Shadows]
63	毒药制造 [扒窃] Poison Manufacture [Pick Pockets]
64	毒药陷阱设置 [发现/移除陷阱] Poison Trap Setting [Find/Remove Traps]
65	牟取暴利与价格操纵 [潜行] Profiteering & Price Fixing [Move Silently]
66	宣传 [无声移动] Propaganda [Move Silently]
67	撬开门户 [开锁] Pry Portals [Open Locks]
68	江湖骗术与假药 [扒窃] Quackery & Snake Oil [Pick Pockets]
69	敲诈勒索 [扒窃] Racketeering [Pick Pockets]
70	绳降 [攀爬垂直表面] Rappelling [Climb Sheer Surfaces]
71	读唇术 [无声移动] Read Lips [Move Silently]
72	抢劫/盗匪行为 [扒窃] Robbery/Banditry [Pick Pockets]
73	散布谣言/诽谤 [扒窃] Rumormongering/Defamation [Pick Pockets]
74	安全屋 [察觉噪音] Safe Houses [Hear Noise]
75	挖掘/破坏 [寻找/移除陷阱] Sapping/Undermining [Find/Remove Traps]
76	拾荒者 [攀爬垂直表面] Scrounging [Climb Sheer Surfaces]
77	秘密身份/双重生活 [发现/解除陷阱] Secret Identity/Double Life [Find/Remove Traps]
78	秘密面板设计与安装 [发现/移除陷阱] Secret Panel Design and Placement [Find/Remove Traps]
79	察觉埋伏 [聆听动静] Sense Ambush [Hear Noise]
80	感知善意 [聆听动静] Sense Benevolence [Hear Noise]
81	感知魔法 [扒窃] Sense Dweomer [Pick Pockets]
82	感知幻象 [扒窃] Sense Illusion [Pick Pockets]
83	感知恶意 [扒窃] Sense Malevolence [Pick Pockets]
84	跟踪 [无声移动] Shadowing [Move Silently]
85	信号传递 [无声移动] Signaling [Move Silently]
86	扒窃与贪污 [偷窃技能] Skimming & Embezzlement [Pick Pockets]
87	手法娴熟/戏法 [扒窃] Sleight of Hand/Legerdemain [Pick Pockets]
88	走私与私酒贩运 [开锁] Smuggling & Bootlegging [Open Locks]
89	催眠剂制造 [发现/解除陷阱] Soporific Manufacture [Find/Remove Traps]
90	监视与侦察 [悄声移动] Surveillance & Reconnaissance [Move Silently]
91	味觉分析 [解读语言] Taste Analysis [Read Languages]
92	嘲讽与戏谑 [扒窃] Taunting & Jesting [Pick Pockets]
93	走钢丝【攀爬垂直表面】 Tightrope Walking [Climb Sheer Surfaces]
94	陷阱规避 [寻找/解除陷阱] Trap Circumvention [Find/Remove Traps]
95	用绳索捆绑/束缚 [开锁] Truss with Ropes/Trammeling [Open Locks]
96	城市追踪 [无声移动] Urban Tracking [Move Silently]
97	毒液提取 [开锁] Venom Extraction [Open Locks]
98	毒免疫 [扒窃] Venom Immunity [Pick Pockets]
99	腹语术 [藏身阴影] Ventriloquism [Hide In Shadows]
100	声音模仿 [扒窃] Vocal Mimicry [Pick Pockets]
