d100	活动-半人马
1	为一位严重受伤的精灵敷药 Applying poultices to a severely injured Elf
2	支持矮人在与侏儒的领土争端中 Backing the Dwarfs in a territorial dispute with Gnomes
3	对横跨湍急河流的摇摇欲坠的桥梁犹豫不决 Balking at a rickety bridge over a rushing river
4	正在为他们的铁匠包扎受伤的蹄关节 Bandaging the injured fetlock of their Blacksmith
5	用成熟的瞬闪莓果篮换取马蹄钉进行交易 Bartering for shoe-nails with baskets of ripe Blinkberries
6	在清澈见底的纯净水池中沐浴 Bathing in a pristine pool of crystal-clear water
7	通过犁地劳作与当地村庄建立友谊 Befriending a local village by performing plow-work
8	正在煮沸戈尔贡皮革以制作弓箭手用的护腕 Boiling Gorgon leather to make braces for archery
9	从手持套索的兽人奴隶贩子手中逃脱 Bolting from lasso bearing Orc slavers
10	为婚礼中的新郎编织胡须和尾巴 Braiding the beard and tail of the groom for a wedding
11	与一群疲惫的苦行僧一起分享面包 Breaking bread with a group of exhausted Dervishes
12	在马车上的蒸馏器中酿造烈酒 Brewing spirits in a wagon-mounted still
13	沉思于巨魔足迹与踪迹：至少发现十处 Brooding over Troll tracks and spoor: At least ten
14	因失去族长而悲痛欲绝 Burdened by grief after the loss of their Matriarch
15	庄重地小跑，作为一位圣骑士的灵柩抬棺者 Cantering solemnly as pall bearers for a Paladin
16	与精灵们热情狂欢，畅饮他们那浑浊的葡萄酒 Carousing enthusiastically with Elfs and their murky Wine
17	在蘑菇圈中与小精灵嬉戏 Cavorting with Sprites in a circle of toadstools
18	追逐从独角兽林地里偷猎的地精 Chasing Goblin poachers from a Unicorn's grove
19	幼驹以芬芳的花卉信物向母马求爱 Colts courting Fillies with fragrant floral tokens
20	正在烹饪大量食物，热切地想要分享 Cooking a prodigious amount of food, eager to share
21	在镇子上捣碎草药制剂以进行交易 Crushing herbal preparations to trade in Town
22	正在讨好当地国王骑兵队的欢心 Currying favor with a local King's calvary
23	在芬芳四溢的草地上悠闲地割着雏菊 Daisy-cutting across a sweet-smelling meadow
24	随着萨提尔的排箫声，以灵巧的蹄步起舞 Dancing with agile hoof-work to a Satyr's syrinx
25	小心翼翼地倒出一瓶异域风味的火焰酒 Decanting an exotic vintage of Firewine, carefully
26	守卫通往他们定居点的翠绿山口 Defending a verdant pass that leads to their settlement
27	运送一位精灵公主的嫁妆 Delivering the dowry of a Pixie Princess
28	低声讨论发现的熊地精足迹 Discussing discovered Hobgoblin tracks in hushed tones
29	在池塘中打捞，寻找沉船后遗失的砧座 Dredging a pond, searching for their Anvil post-barge-wreck
30	护送他们的医者前往为王国中最杰出的病人诊治 Escorting their Healer to a Royal Patient, best in the land
31	正在盛宴庆祝许久以前的一次重大胜利 Feasting to celebrate a momentous victory from long ago
32	在宁芙仙子湖畔的沙岸上垂钓 Fishing from the sandy bank of a Nixie's lake
33	为躲避一只贪婪狮鹫尖啸俯冲而慌忙寻找掩体 Fleeing for cover from a gluttonous Griffon's screeching dives
34	正在用枭熊羽毛精心制作箭矢 Fletching masterfully crafted arrows with Owlbear feathers
35	在林地间漫游，不安定的游牧者 Gallivanting throughout the Woodlands, unsettled Nomads
36	雷鸣般疾驰，长矛直指双足飞龙 Galloping thunderously, lances set against a Wyvern
37	采集花朵为葬礼凉亭：一位树精的逝去 Gathering flowers for a funerary bower: A Dryad's death
38	闷闷不乐地嚼着寡淡无味且极其干燥的燕麦饼 Glumly chewing on bland and incredibly dry Oat Cakes
39	引导一位鲁莽的游侠前往巨人的巢穴 Guiding an impetuous Ranger to a Giant's Lair
40	与矮人就其虚高的铁价讨价还价 Haggling with Dwarfs over their inflated iron price
41	在便携式锻炉上敲打马铠板的凹痕 Hammering dents from barding plates on a portable forge
42	从稀疏的树木上采集药用树皮 Harvesting medicinal barks from threadbare trees
43	协助当地德鲁伊搬运巨大的砂岩巨石 Helping a local Druid haul huge sarsen stones
44	将捣乱者拴在马车后作为惩罚 Hitching a troublemaker to a wagon as penance
45	因一周的狂欢宿醉而脾气暴躁 Hungover from a weeklong bender and irritable
46	正在猎鹿，刚刚捕获了一头令人印象深刻的雄鹿 Hunting Deer, just bagged an impressive Buck
47	因近期暴雨而陷入困境，小心翼翼地跋涉 Imperiled by recent torrential rains, traipsing carefully
48	在斑驳阳光的小径上巡逻时轻快地慢跑 Jogging briskly as they patrol their sun-dappled paths
49	为运动而进行的长矛比武：使用易碎的木质长矛和坚固的盾牌 Jousting for sport: fragile wooden lances and strong shields
50	揉捏着粘稠芬芳的面团，准备烘烤一份丰盛的面包 Kneading sticky, fragrant dough to bake a hearty bread
51	在追逐食人魔时，跃过低矮的倒树 Leaping over low fallen trees as they pursue an Ogre
52	耐心排队等待雇佣蹄铁匠的服务 Lined up patiently for the attentions of a Farrier-for-hire
53	全神贯注地聆听一位长者的教诲 Listening intently to a lecture from an Elder
54	疲惫地缓步归家，因狩猎无果而精疲力尽 Loping towards home, exhausted from an unfruitful hunt
55	即将迁往新草地，正在收拾营地 Migrating to a new meadow soon, packing up their camp
56	召集一支侏儒民兵，协助对抗霍布哥布林伐木工 Mustering a Gnome militia to help fight Hobgoblin loggers
57	与友善的桥巨魔协商过路费用 Negotiating a price for passage with a friendly Bridge Troll
58	轻声嘶鸣以安抚受惊的种马 Nickering to calm a frightened Stallion
59	正在前往加冕新可汗的路上 On their way to crown a new Khan
60	从扭曲的树枝上采摘野生的无花果 Picking feral Figs from gnarled branches
61	采摘最成熟的野葡萄，用于酿造他们那令人惊叹的美酒 Plucking only ripest wild Grapes for their fantastic wine
62	敲打炽热的铁烙印以去除杂质 Pounding glowing iron brands to remove impurities
63	以编排好的队形欢跃行进，进行强制行军 Prancing in choreographed formation, forced march
64	拉着一辆即将掉轮子的旧推车 Pulling an old rulley that's about to lose a wheel
65	追逐狼群以驱赶它们 Racing after a pack of wolves to drive them away
66	从一棵古树根部耙拾栗子 Raking chestnuts from the base of an ancient tree
67	用借来的锋利镰刀收割小麦 Reaping wheat with sharp borrowed scythes
68	突然听到死亡响尾蛇的声音而惊起 Rearing suddenly at the sound of a Deathrattle Serpent
69	在用香木点燃的火堆上烤羊肉 Roasting mutton over a fire of seasoned wood
70	正在驱赶一群正在吃草的羊群 Rounding-up a flock of grazing sheep
71	喧闹的小马驹围困着入侵且惊恐万分的强盗 Rowdy Colts cornering trespassing and terrified Bandits
72	破坏围栏以解放被奴役的马匹 Sabotaging a paddock to free Horses from servitude
73	守护一座神圣的森林圣坛 Safeguarding a sacred sylvan Shrine
74	正在侦察一处适合种植幼小树人（Treant）的空地 Scouting a suitable clearing to plant a seedling Treant
75	从贵族的果园里偷摘苹果 Scrumping Apples from a Noble's Orchard
76	寻找一只走失且受惊的小马驹 Searching for a lost and frightened Foal
77	正在守护一个装满银锭的宝箱 Securing a chest laden with silver ingots
78	挑选笔直的树苗作为制作长矛的木材 Selecting straight saplings for spear wood
79	担任附近隐秘精灵定居点的哨兵 Serving as sentries for a nearby hidden Elf settlement
80	来自草原的蓬松移民，用陌生的语言交谈 Shaggy steppe transplants, speaking in strange tongues
81	正在为羊群剪毛并梳理优质羊毛 Shearing their flock and carding quality wool
82	在他们的圣骑士冠军旗帜下狂奔 Stampeding under the banner of their champion Paladin
83	正在蒸煮紫杉木杆以制作弓具 Steaming yew staves for bowyery
84	正在欢快地踩踏巨大的葡萄桶 Stomping vast vats of grapes and in good spirits
85	在森林幽暗的小径间悄然穿行 Striding among shady lanes of the Wood, almost silently
86	召唤萨满治疗骨折 Summoning the Shaman to mend a broken bone
87	被无良商人欺骗，正在寻求复仇 Swindled by an unscrupulous Trader and seeking revenge
88	正在敲开一桶奥塞奇苹果酒，这是一种需慢慢品味的饮品 Tapping a tun of Osage Cider, an acquired taste
89	照料蜂箱，为蜜酒季节做准备 Tending to Honeybee hives in preparation for Mead season
90	在渡河前测试浅滩的深度 Testing the depth of a ford prior to crossing
91	将巨大的渔网抛入鱼群密集的湖泊中 Throwing large nets into a lake teeming with fish
92	正在与一座巨型风车傀儡进行模拟比武 Tilting at a giant Windmill Golem
93	在比赛中向伤痕累累的木制假人投掷标枪 Tossing javelins in contest at scarred wooden dummies
94	追踪一群疑似恶魔猪的踪迹 Tracking a sounder of suspected Devil Swine
95	用精美编织的挂毯交换蜜饯糖果 Trading finely woven tapestries for candied sweets
96	前往大议会，讲述他们部落的故事 Travelling to the great Moot to tell tales from their tribe
97	小跑着陪伴一位受伤的骑士，引领他前往安全之地 Trotting alongside an injured Knight, leading him to safety
98	展开神圣卷轴以驱逐墓穴怨灵 Unfurling sacred scrolls to banish a Barrow Wight
99	愿意用几乎任何东西交换一个新铁砧 Willing to trade almost anything for a new anvil
100	在互相帮忙修剪蹄子时露出痛苦的表情 Wincing as they help clip each other's hooves
