1d30	活动-淡水白蚁
1	用试探性的啃咬磨蚀驳船底部 Abrading the bottom of a Barge with tentative nibbles
2	将小石子粘合在一起，制造巨大的空心巢穴 Bonding together Pebbles to fabricate huge hollow hives
3	掀翻破旧的木筏，不会游泳的矮人骑手惊恐万分 Capsizing a ramshackle Raft, terrified Dwarf rider can't swim
4	正在啃咬一座重要桥梁的支撑结构 Chewing through the supports of an important Bridge
5	正爬上满载惊慌水手的小圆舟侧边 Climbing up the sides of a Coracle full of frantic Sailors
6	正在破坏一艘满载商人货物的长船的船体 Damaging the Hull of a Longship, laden with Trader's goods
7	栖息在一系列险恶的急流附近 Dwelling near a series of treacherous Rapids
8	正在建造一座防水尖塔，高耸于水面之上 Erecting a waterproof Spire, reaching high above the water
9	围绕漂浮的木头群集，几分钟内将其化为尘土 Flocking around a bobbing Log, reducing it to dust in minutes
10	在河岸上觅食，寻找浸湿的浮木 Foraging on the banks for sodden Driftwood
11	用颚部威胁性地对着鳄鱼发出嘎吱声 Gnashing their Mandibles threateningly at a Crocodile
12	守卫着一座小岛，岛上仅存一棵树人 Guarding a small Island, where a single Treant still stands
13	在被船篙击打后喷射出恶臭的泡沫状墨汁 Jetting foul foamy Ink after being beat with a bargepole
14	威胁性地朝一艘丧葬平底船漂去 Menacingly floating towards a Funereal Flatboat
15	正在嘈杂地啃食一张编织精巧的渔网 Noisily feeding on an intricately woven Fishing Net
16	压倒一位友好渔夫随意修补的船只 Overwhelming a friendly Fisherman's haphazardly patched Boat
17	正在凿穿新建码头的木板 Perforating the planks of a newly constructed Pier
18	爬上利润丰厚的渡船甲板 Pulling themselves onto the deck of a profitable Ferry
19	刺穿一处关键位置的海狸水坝 Puncturing a crucially placed Beaver's Dam
20	为他们的水泽仙女盟友重建水下别墅 Rebuilding an underwater villa for their Nixie allies
21	吐出浆液喂养半透明的幼虫 Regurgitating Pulp to feed translucent Larvae
22	正从一条贪得无厌的巨型鲈鱼处撤退 Retreating from an insatiable Giant Bass
23	从岸边树荫的树干上匆忙爬下 Scrambling down the Tree Trunks of shoreside Shade
24	作为饥饿巨鲶的美味点心 Serving as tasty treats for a hungry Giant Catfish
25	向一伙强盗喷洒其令人眩晕的喷雾 Showering a Brigand Crew with their stunning spray
26	正登上一艘在河流中航行的海盗小船 Streaming aboard a small ship of Pirates who ply the Rivers
27	为季节性迁徙而涌动，水中密集着它们的身影 Surging for a seasonal migration, water thick with them
28	温柔地孵化着如瓜般大小的苍白椭圆形卵 Tenderly brooding pale, oblong Eggs the size of melons
29	彻底摧毁被洪水淹没的树木 Utterly decimating Trees inundated by flooding waters
30	正贪婪地吞噬着大型浮木堆中的木材 Voraciously consuming the Lumber in a large Log Jam
